PDF Question,Year,Grade,Decomposition,Pattern Recognition,Abstraction,Modelling & Simulation,Algorithms,Description Text,Question Text,Answer Text,Description Image,Question Image,Answer Image,Correct Answer,A,B,C,D,Notes
Spinning square,3/4,A,X,X,X,,X,Here is a simple push square game. The colours rotate every time the centre button is pressed:,If we press the button one more time; where would the red; blue; green and yellow squares be?,,Description_Image_01,Question_Image_01,Answer_Image_01,Yellow; blue; green; red,Yellow; blue; green; red,Blue; green; red; yellow,Yellow; green; blue; red,Green; yellow; blue; red,
Shoe prints,3/4,A,X,X,X,,X,Four footprints have been found in the mud. The police are looking for a robber who wore shoes with these properties: • The soles have a stripey pattern • The heel is thin,Choose the set of shoe prints that could belong to the robber.,If you look at all the shoe prints in the question; only the shoe print shown above has both thin heels and a stripy sole., ,,Question_Image_02.4,Question_Image_02.4,Question_Image_02.1,Question_Image_02.2,Question_Image_02.3,Question_Image_02.4,
Getting dressed,3/4,A,X,,X,,X,These are Bruno's clothes:,Beaver Dad carefully arranges little Bruno's clothes; into four piles. Bruno puts on his clothes in the order that they are in the pile; starting from the top. Bruno wants to wear the braces over his shirt. Choose a pile of clothes that Bruno will be happy with.,There are two possible correct answers:,Description_Image_04,,Question_Image_04.3; Question_Image_04.4,Question_Image_04.3,Question_Image_04.1,Question_Image_04.2,Question_Image_04.3,Question_Image_04.4,
Trees in a circle,3/4,B,X,,X,X,X,The green circles on the right show the position of six trees. Joni has tied a rope around them shown by the yellow line. Only 5 trees are touched by the rope.,If the trees shown below are wrapped with a rope in the same way; how many trees will be touched by the rope?,Six trees are touched by the rope as shown here:,Description_Image_05,Question_Image_05,Answer_Image_05,6,4,5,6,7,
Trees in a circle,5/6,A,X,,X,X,X,Example: The green circles on the right show the position of six trees. Joni has tied a rope around them shown by the yellow line. Only 5 trees are touched by the rope.,If the trees shown below are wrapped with a rope in the same way; how many trees will be touched by the rope?,Six trees are touched by the rope as shown here:,Description_Image_05,Question_Image_05,Answer_Image_05,6,4,5,6,7,
Rubbish robots,3/4,B,X,,X,X,X,The picture shows the map of a park divided into rectangles. The number in each rectangle represents the number of pieces of rubbish left there by visitors. The park keepers have two robots; Anton and Boris; who collect all the rubbish they find in every rectangle they enter. The robots were given the following instructions:,How many pieces of rubbish will Boris collect?,Anton will go first and he will collect 1 + 2 + 0 pieces of rubbish; which is 3 altogether; using the instructions given. Next; Boris will collect 3 + 6 + 0 pieces of rubbish; which is 9 altogether; using the instructions given. Note that in the last square on Boris’s path there used to be 2 pieces of rubbish before both robots started but Anton cleans this square first.,Description_Image_07,,Answer_Image_07,9,3,9,11,12,
Anthill Scramble,3/4,B,X,,X,,X,Edna the echidna wants to go to the anthill. To get there she must collect all the red ants (larger ants). Help her by watching her walk straight and telling her where to walk (Right; Left; Up and Down as shown below).,Which commands should you give Edna?,A) Edna walks right from the starting point. When the straight path ends; she walks up; and walks all the way to the top before going right. When she catches the next red ant; she goes down again until the line ends. Next she needs to go right; then up; and when she reaches the red ant she needs to walk right again. B) can't be right as the path described does not collect all red ants. C) and D) can't be right as the paths described do not follow the line of ants and rule stated. The only right answer can be A as it follows the rules stated.,Description_Image_08,,,Right; up; right; down; right; up; right,Right; up; right; down; right; up; right,Right; up; right; up; right; up; right; down; right; down; right,Right; up; right; up; left; down; right,Right; up; right; down; right; down; right,
Anthill Scramble,5/6,A,X,,X,,X,Edna the echidna wants to go to the anthill. To get there she must collect all the red ants (larger ants). Help her by watching her walk straight and telling her where to walk (Right; Left; Up and Down as shown below).,Which commands should you give Edna?,A) Edna walks right from the starting point. When the straight path ends; she walks up; and walks all the way to the top before going right. When she catches the next red ant; she goes down again until the line ends. Next she needs to go right; then up; and when she reaches the red ant she needs to walk right again. B) can't be right as the path described does not collect all red ants. C) and D) can't be right as the paths described do not follow the line of ants and rule stated. The only right answer can be A as it follows the rules stated.,Description_Image_08,,,Right; up; right; down; right; up; right,Right; up; right; down; right; up; right,Right; up; right; up; right; up; right; down; right; down; right,Right; up; right; up; left; down; right,Right; up; right; down; right; down; right,
Snake Samba,3/4,B,X,X,X,,X,Sally the snake is coming up with a dance.,Which image comes next in the dance?,A; B & D can't be right as it does not follow the pattern: In the images the tail of the snake change the positions in each dance step: it is either a straight or bent after the other. The small black stripe is rotatory over or under the wide black stripe. In each second dance step the snake rotate (90 degrees) in a clockwise direction. The next dance step the head of the snake looks in new direction (down); with the tail remaining unmoved (straight); and the black small stripe moves over the wide black stripe. The only right answer can be C as it follows the same rules.,Description_Image_10,,Question_Image_10.3,Question_Image_10.3,Question_Image_10.1,Question_Image_10.2,Question_Image_10.3,Question_Image_10.4,
Snake Samba,5/6,A,X,X,X,,X,Sally the snake is coming up with a dance.,Which image comes next in the dance?,A; B & D can't be right as it does not follow the pattern: In the images the tail of the snake change the positions in each dance step: it is either a straight or bent after the other. The small black stripe is rotatory over or under the wide black stripe. In each second dance step the snake rotate (90 degrees) in a clockwise direction. The next dance step the head of the snake looks in new direction (down); with the tail remaining unmoved (straight); and the black small stripe moves over the wide black stripe. The only right answer can be C as it follows the same rules.,Description_Image_10,,Question_Image_10.3,Question_Image_10.3,Question_Image_10.1,Question_Image_10.2,Question_Image_10.3,Question_Image_10.4,
